bug_id,app_name,module,bug_type,severity,priority,device_type,browser,os,screenshot_available,steps_to_reproduce,expected_behavior,actual_behavior,time_to_detect_sec,time_to_fix_sec,user_impact_score,reported_by,tags,resolved,Cluster
10006,Taskmanager,Login Form,Animation,Medium,P1,Desktop,Chrome,Windows,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Animation Bug,37,156,5,User,Accessibility;Link;Mobile,False,3
30659,Noteapp,Checkout,Layout,Medium,P3,Tablet,Safari,Macos,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Layout,56,118,5,Qa,Performance;Accessibility,False,2
43194,Noteapp,Dashboard,Performance,Low,P2,Desktop,Firefox,Windows,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Performance,15,787,10,Developer,Crash;Mobile,True,1
15538,Financetracker,Search,Color Mismatch,High,P2,Tablet,Firefox,Windows,False,Perform action related to Search,Search works correctly,Search has issue: Color Mismatch,39,801,3,Developer,Link;Mobile;Performance,False,5
29818,Noteapp,Editor,Responsiveness,High,P3,Tablet,Edge,Macos,True,Perform action related to Editor,Editor works correctly,Editor has issue: Responsiveness,52,764,7,Qa,UX,False,1
24234,Shopease,Footer,Accessibility,Medium,P2,Mobile,Chrome,Ios,False,Perform action related to Footer,Footer works correctly,Footer has issue: Accessibility,44,242,8,Qa,Crash;Animation,False,3
44237,Taskmanager,Sidebar,Performance,Medium,P1,Tablet,Firefox,Ios,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Performance,24,802,3,Qa,Link;Mobile,True,0
8475,Financetracker,Toolbar,Text Overflow,High,P2,Tablet,Safari,Ios,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Text Overflow,9,644,4,Developer,Layout;Link,False,0
5493,Noteapp,Editor,Accessibility,Medium,P1,Mobile,Edge,Macos,False,Perform action related to Editor,Editor works correctly,Editor has issue: Accessibility,47,200,9,Developer,UX,True,3
21968,Noteapp,Checkout,Animation,High,P2,Tablet,Edge,Macos,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Animation Bug,25,570,6,Developer,Link;Performance;Color,True,0
47426,Noteapp,Footer,Performance,Medium,P2,Desktop,Firefox,Windows,False,Perform action related to Footer,Footer works correctly,Footer has issue: Performance,23,930,7,User,Mobile,True,1
48910,Noteapp,Navbar,Crash,Medium,P2,Tablet,Edge,Windows,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Crash,11,295,10,User,Color;Mobile,True,4
8590,Shopease,Toolbar,Layout,High,P2,Desktop,Safari,Ios,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Layout,42,603,3,Qa,UX,True,2
9800,Noteapp,Dashboard,Layout,Low,P3,Tablet,Firefox,Windows,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Layout,31,956,7,Qa,Animation;Crash;Accessibility,False,1
49033,Noteapp,Navbar,Color Mismatch,Medium,P3,Mobile,Safari,Ios,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Color Mismatch,56,282,8,Developer,Crash;Accessibility;Link,False,3
28558,Shopease,Navbar,Responsiveness,Medium,P2,Tablet,Chrome,Macos,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Responsiveness,38,237,9,Qa,Animation;Performance,True,3
38887,Financetracker,Sidebar,Crash,Medium,P2,Tablet,Firefox,Windows,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Crash,36,220,6,Developer,Accessibility,False,3
36539,Shopease,Footer,Performance,Medium,P2,Desktop,Chrome,Android,True,Perform action related to Footer,Footer works correctly,Footer has issue: Performance,25,509,4,Developer,UX;Color;Crash,False,0
9613,Financetracker,Dashboard,Color Mismatch,Medium,P2,Tablet,Edge,Windows,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Color Mismatch,15,388,4,User,Color;UX,False,0
4760,Taskmanager,Login Form,Performance,Medium,P1,Mobile,Chrome,Android,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Performance,42,220,7,Qa,UX;Performance;Crash,False,3
5367,Socialbuzz,Footer,Crash,Medium,P2,Tablet,Edge,Android,True,Perform action related to Footer,Footer works correctly,Footer has issue: Crash,36,152,6,User,Mobile,False,3
25952,Taskmanager,Toolbar,Animation,High,P1,Desktop,Edge,Windows,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Animation Bug,18,94,5,User,UX,True,3
3561,Noteapp,Editor,Responsiveness,Low,P1,Desktop,Chrome,Android,True,Perform action related to Editor,Editor works correctly,Editor has issue: Responsiveness,19,447,3,Qa,Mobile;Color;Performance,False,4
7864,Socialbuzz,Toolbar,Accessibility,Medium,P2,Tablet,Firefox,Android,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Accessibility,21,312,4,User,Link,True,4
8473,Noteapp,Dashboard,Color Mismatch,High,P2,Tablet,Firefox,Ios,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Color Mismatch,47,505,6,Developer,Performance,False,2
38099,Socialbuzz,Footer,Animation,Low,P3,Mobile,Safari,Macos,False,Perform action related to Footer,Footer works correctly,Footer has issue: Animation Bug,48,765,6,Qa,Layout;Color;Performance,True,2
46169,Financetracker,Search,Broken Link,Critical,P1,Mobile,Firefox,Ios,False,Perform action related to Search,Search works correctly,Search has issue: Broken Link,28,458,4,Developer,Mobile;Performance;Color,True,0
39987,Noteapp,Editor,Layout,Medium,P3,Mobile,Firefox,Windows,False,Perform action related to Editor,Editor works correctly,Editor has issue: Layout,46,815,5,Developer,Performance;Mobile,True,5
20792,Shopease,Checkout,Layout,Critical,P3,Tablet,Edge,Android,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Layout,27,379,10,Qa,Mobile,False,4
46933,Financetracker,Checkout,Crash,High,P1,Mobile,Edge,Macos,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Crash,21,824,10,User,Accessibility;Performance,False,1
12530,Financetracker,Toolbar,Crash,High,P2,Tablet,Firefox,Windows,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Crash,43,397,8,Developer,Link;Accessibility,False,3
35814,Financetracker,Navbar,Layout,Low,P1,Mobile,Firefox,Macos,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Layout,33,207,4,User,Color;Mobile,False,2
772,Financetracker,Sidebar,Responsiveness,Medium,P2,Tablet,Chrome,Windows,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Responsiveness,25,923,5,User,Performance;Color,False,0
21663,Noteapp,Navbar,Text Overflow,Medium,P3,Mobile,Chrome,Windows,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Text Overflow,24,739,4,Qa,Crash,True,0
23241,Financetracker,Navbar,Color Mismatch,High,P3,Desktop,Chrome,Android,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Color Mismatch,10,439,8,Qa,Animation,False,4
48610,Socialbuzz,Navbar,Performance,Low,P3,Mobile,Firefox,Android,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Performance,18,816,1,Qa,UX,False,0
29630,Financetracker,Toolbar,Crash,High,P3,Tablet,Edge,Ios,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Crash,59,936,8,User,Color,False,1
41049,Shopease,Checkout,Crash,Low,P1,Mobile,Edge,Macos,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Crash,26,274,1,User,Crash,False,2
15009,Taskmanager,Checkout,Crash,High,P1,Tablet,Chrome,Android,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Crash,25,751,5,Qa,Link;Crash,True,0
44689,Socialbuzz,Footer,Animation,High,P3,Desktop,Edge,Windows,False,Perform action related to Footer,Footer works correctly,Footer has issue: Animation Bug,52,280,8,Qa,Crash;Animation,True,2
4212,Taskmanager,Checkout,Broken Link,High,P1,Tablet,Chrome,Android,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Broken Link,5,354,9,User,Mobile;Crash;Performance,True,4
43225,Shopease,Editor,Animation,High,P3,Tablet,Chrome,Windows,True,Perform action related to Editor,Editor works correctly,Editor has issue: Animation Bug,59,698,1,Qa,Layout;UX,False,5
16822,Financetracker,Toolbar,Accessibility,Medium,P2,Mobile,Safari,Ios,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Accessibility,41,654,10,User,Crash;Color,True,1
5926,Shopease,Toolbar,Broken Link,Low,P1,Mobile,Chrome,Windows,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Broken Link,45,794,8,User,Performance,False,1
17478,Shopease,Navbar,Accessibility,Medium,P2,Tablet,Firefox,Windows,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Accessibility,23,702,9,Developer,Color,True,1
33911,Financetracker,Login Form,Broken Link,High,P3,Desktop,Edge,Windows,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Broken Link,46,575,4,Qa,Performance;UX,False,2
43712,Financetracker,Search,Layout,Low,P2,Desktop,Safari,Android,True,Perform action related to Search,Search works correctly,Search has issue: Layout,6,76,9,User,Crash;Accessibility;Link,True,4
42474,Shopease,Search,Responsiveness,Medium,P2,Mobile,Chrome,Ios,False,Perform action related to Search,Search works correctly,Search has issue: Responsiveness,53,323,7,Developer,Mobile;Accessibility;Layout,False,2
12521,Socialbuzz,Footer,Accessibility,High,P1,Mobile,Safari,Android,False,Perform action related to Footer,Footer works correctly,Footer has issue: Accessibility,16,901,7,User,Accessibility;Crash,False,0
491,Financetracker,Login Form,Crash,Medium,P3,Mobile,Safari,Macos,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Crash,38,175,3,Qa,Layout;Crash,False,2
4220,Socialbuzz,Sidebar,Broken Link,Medium,P3,Desktop,Firefox,Windows,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Broken Link,12,89,3,Qa,Crash,False,0
24098,Financetracker,Editor,Crash,Medium,P3,Tablet,Chrome,Windows,False,Perform action related to Editor,Editor works correctly,Editor has issue: Crash,20,224,9,User,UX;Color;Crash,False,4
11208,Financetracker,Dashboard,Performance,Low,P3,Mobile,Firefox,Android,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Performance,36,846,1,Developer,Mobile;Accessibility;Animation,False,0
42212,Socialbuzz,Checkout,Performance,Medium,P1,Tablet,Safari,Ios,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Performance,26,885,8,User,Performance;Link;Layout,True,1
46805,Financetracker,Sidebar,Color Mismatch,Low,P2,Desktop,Edge,Macos,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Color Mismatch,52,491,2,Developer,Accessibility;Crash,True,2
1804,Taskmanager,Toolbar,Broken Link,Low,P1,Mobile,Chrome,Android,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Broken Link,21,352,5,Developer,Link;Accessibility;Animation,True,4
5617,Socialbuzz,Footer,Broken Link,Medium,P2,Desktop,Edge,Windows,True,Perform action related to Footer,Footer works correctly,Footer has issue: Broken Link,46,691,9,Developer,Color;UX,False,1
43665,Shopease,Navbar,Accessibility,Low,P3,Desktop,Safari,Windows,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Accessibility,28,890,9,User,Color;Accessibility,False,1
3514,Taskmanager,Toolbar,Responsiveness,Medium,P2,Desktop,Firefox,Macos,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Responsiveness,43,638,4,Qa,Animation;UX,False,0
41298,Socialbuzz,Search,Animation,High,P3,Desktop,Edge,Windows,False,Perform action related to Search,Search works correctly,Search has issue: Animation Bug,28,305,9,Qa,Color;Link,True,4
48971,Financetracker,Login Form,Crash,High,P2,Desktop,Safari,Ios,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Crash,6,483,9,Developer,Performance;Mobile;Accessibility,True,4
20849,Financetracker,Footer,Color Mismatch,High,P1,Desktop,Edge,Android,False,Perform action related to Footer,Footer works correctly,Footer has issue: Color Mismatch,7,350,6,Developer,Mobile,True,4
18223,Socialbuzz,Navbar,Color Mismatch,Medium,P2,Mobile,Safari,Ios,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Color Mismatch,38,397,6,Developer,Crash;Performance;Color,False,2
41802,Socialbuzz,Checkout,Broken Link,Medium,P2,Mobile,Edge,Android,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Broken Link,51,318,9,Developer,UX;Link;Color,False,3
36218,Socialbuzz,Login Form,Crash,Medium,P1,Mobile,Edge,Ios,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Crash,13,101,6,Developer,Performance;Accessibility,False,4
27848,Shopease,Checkout,Animation,Critical,P2,Tablet,Chrome,Windows,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Animation Bug,42,345,5,User,Link;Color;Crash,True,2
42839,Shopease,Footer,Layout,Medium,P1,Mobile,Edge,Macos,False,Perform action related to Footer,Footer works correctly,Footer has issue: Layout,15,556,7,Qa,Accessibility;Crash;Layout,True,4
21406,Socialbuzz,Footer,Broken Link,Low,P2,Tablet,Firefox,Windows,False,Perform action related to Footer,Footer works correctly,Footer has issue: Broken Link,46,918,4,User,Accessibility,False,5
42796,Financetracker,Sidebar,Layout,Medium,P2,Tablet,Chrome,Ios,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Layout,52,360,9,User,Mobile;Animation;Accessibility,True,3
32430,Socialbuzz,Toolbar,Text Overflow,Low,P3,Desktop,Edge,Macos,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Text Overflow,11,857,9,User,Color,True,1
34415,Noteapp,Sidebar,Color Mismatch,High,P2,Tablet,Edge,Android,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Color Mismatch,38,729,5,Developer,Link;Color;Animation,True,0
42049,Taskmanager,Checkout,Performance,Medium,P1,Mobile,Safari,Macos,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Performance,32,358,9,User,Layout;Animation;Performance,False,3
28934,Noteapp,Search,Broken Link,Medium,P3,Desktop,Edge,Macos,True,Perform action related to Search,Search works correctly,Search has issue: Broken Link,54,322,7,User,Accessibility;UX,True,2
34661,Socialbuzz,Editor,Accessibility,Low,P3,Tablet,Firefox,Macos,False,Perform action related to Editor,Editor works correctly,Editor has issue: Accessibility,37,651,2,Developer,UX;Crash,False,0
3705,Taskmanager,Search,Performance,Low,P3,Desktop,Firefox,Windows,False,Perform action related to Search,Search works correctly,Search has issue: Performance,12,254,3,Qa,Performance;Color,True,0
41297,Financetracker,Toolbar,Crash,Low,P1,Mobile,Safari,Windows,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Crash,33,887,2,Developer,Crash;Color,False,0
21613,Socialbuzz,Footer,Crash,Medium,P2,Desktop,Edge,Android,True,Perform action related to Footer,Footer works correctly,Footer has issue: Crash,11,840,5,User,Performance;Link,False,0
23543,Noteapp,Search,Accessibility,Medium,P1,Mobile,Safari,Android,False,Perform action related to Search,Search works correctly,Search has issue: Accessibility,33,961,8,Qa,Animation;Link;Mobile,True,1
14633,Taskmanager,Dashboard,Responsiveness,Medium,P3,Mobile,Firefox,Windows,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Responsiveness,7,839,5,Qa,Accessibility;UX;Mobile,False,0
43387,Taskmanager,Navbar,Animation,High,P1,Desktop,Edge,Windows,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Animation Bug,56,572,5,Developer,Color;Performance,False,2
47155,Noteapp,Checkout,Responsiveness,Medium,P1,Desktop,Safari,Android,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Responsiveness,35,940,8,Qa,Accessibility;UX;Crash,True,1
38626,Socialbuzz,Editor,Performance,Medium,P1,Mobile,Edge,Macos,False,Perform action related to Editor,Editor works correctly,Editor has issue: Performance,10,670,8,User,Performance,True,4
18242,Financetracker,Navbar,Crash,Low,P1,Desktop,Edge,Android,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Crash,54,68,9,Qa,Mobile,False,3
21408,Noteapp,Editor,Color Mismatch,Medium,P3,Mobile,Safari,Android,True,Perform action related to Editor,Editor works correctly,Editor has issue: Color Mismatch,14,542,7,Qa,Accessibility;Animation,True,4
14112,Socialbuzz,Checkout,Accessibility,High,P1,Desktop,Firefox,Ios,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Accessibility,19,116,4,Qa,Animation,True,2
17972,Taskmanager,Checkout,Performance,High,P3,Desktop,Chrome,Ios,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Performance,48,968,3,Developer,UX;Animation;Layout,True,5
20750,Socialbuzz,Dashboard,Accessibility,Medium,P2,Desktop,Edge,Android,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Accessibility,6,609,9,Qa,Color;Mobile;UX,False,4
4390,Shopease,Dashboard,Accessibility,Medium,P1,Tablet,Chrome,Macos,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Accessibility,59,783,7,Developer,Layout,False,1
13407,Noteapp,Navbar,Broken Link,High,P3,Tablet,Firefox,Ios,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Broken Link,49,890,3,Developer,Link;Layout;Crash,False,5
36328,Financetracker,Login Form,Performance,Low,P3,Tablet,Firefox,Ios,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Performance,14,215,8,Developer,Color;Accessibility,True,4
39981,Financetracker,Toolbar,Color Mismatch,Medium,P2,Desktop,Safari,Macos,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Color Mismatch,46,493,3,Developer,Layout,True,2
10616,Taskmanager,Dashboard,Performance,Medium,P2,Mobile,Chrome,Android,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Performance,8,403,8,User,Color;Crash;Link,True,4
26302,Noteapp,Toolbar,Color Mismatch,Medium,P3,Desktop,Firefox,Macos,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Color Mismatch,20,720,6,Qa,Performance;Color,True,1
45964,Socialbuzz,Dashboard,Performance,Medium,P2,Mobile,Edge,Ios,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Performance,5,196,9,User,Layout,True,4
21848,Taskmanager,Navbar,Animation,Medium,P3,Tablet,Edge,Android,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Animation Bug,56,512,2,Developer,Layout,True,2
32976,Socialbuzz,Dashboard,Layout,Low,P1,Tablet,Edge,Macos,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Layout,43,957,2,Developer,Layout;Link,False,5
2102,Shopease,Footer,Accessibility,Critical,P2,Tablet,Safari,Ios,False,Perform action related to Footer,Footer works correctly,Footer has issue: Accessibility,14,106,1,Developer,Mobile,False,0
49012,Socialbuzz,Login Form,Layout,Medium,P3,Tablet,Edge,Windows,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Layout,52,767,8,User,Layout,True,1
1076,Noteapp,Checkout,Broken Link,High,P2,Mobile,Chrome,Ios,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Broken Link,33,341,2,Qa,Performance;UX;Accessibility,False,2
16913,Financetracker,Footer,Accessibility,Medium,P2,Desktop,Safari,Macos,True,Perform action related to Footer,Footer works correctly,Footer has issue: Accessibility,58,465,8,Developer,Mobile;Accessibility;Layout,False,3
46689,Noteapp,Search,Color Mismatch,High,P2,Mobile,Safari,Ios,False,Perform action related to Search,Search works correctly,Search has issue: Color Mismatch,25,742,10,User,Layout;Link;Mobile,False,1
33031,Taskmanager,Footer,Layout,Low,P1,Desktop,Edge,Android,True,Perform action related to Footer,Footer works correctly,Footer has issue: Layout,17,898,7,User,Link,True,0
47865,Noteapp,Search,Crash,High,P3,Tablet,Chrome,Ios,True,Perform action related to Search,Search works correctly,Search has issue: Crash,54,507,5,User,Mobile;Accessibility;Color,False,2
25180,Financetracker,Toolbar,Responsiveness,Low,P1,Desktop,Firefox,Ios,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Responsiveness,19,580,5,Qa,Layout;Mobile;Animation,True,0
45917,Noteapp,Footer,Accessibility,Medium,P1,Tablet,Safari,Ios,False,Perform action related to Footer,Footer works correctly,Footer has issue: Accessibility,6,540,6,User,Link;Accessibility,True,4
38205,Noteapp,Search,Color Mismatch,Critical,P3,Tablet,Edge,Android,True,Perform action related to Search,Search works correctly,Search has issue: Color Mismatch,25,850,9,Qa,Crash;Mobile;Performance,True,1
30735,Socialbuzz,Dashboard,Animation,Medium,P2,Desktop,Edge,Macos,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Animation Bug,50,208,10,Qa,Color,True,3
3592,Noteapp,Navbar,Crash,Medium,P3,Tablet,Edge,Macos,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Crash,50,335,2,User,Color,True,2
17971,Taskmanager,Toolbar,Broken Link,High,P3,Tablet,Safari,Android,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Broken Link,35,292,10,Developer,Color;Layout;Mobile,True,4
5735,Taskmanager,Login Form,Text Overflow,Medium,P2,Desktop,Safari,Macos,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Text Overflow,46,903,7,User,Link,False,1
6658,Socialbuzz,Navbar,Responsiveness,High,P1,Mobile,Firefox,Macos,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Responsiveness,7,928,1,Developer,Crash;Color,False,0
32633,Socialbuzz,Footer,Animation,Medium,P1,Desktop,Edge,Ios,False,Perform action related to Footer,Footer works correctly,Footer has issue: Animation Bug,24,618,3,Qa,Mobile;Animation;Layout,False,0
5872,Socialbuzz,Checkout,Performance,Medium,P1,Mobile,Edge,Ios,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Performance,39,445,5,Developer,Crash;Animation;Layout,False,2
32764,Noteapp,Navbar,Crash,High,P1,Mobile,Chrome,Ios,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Crash,25,713,8,Developer,Crash;Color;Performance,False,1
3971,Financetracker,Login Form,Accessibility,High,P2,Mobile,Edge,Macos,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Accessibility,8,388,9,Developer,Color;Mobile,False,4
45381,Noteapp,Toolbar,Layout,High,P1,Desktop,Edge,Ios,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Layout,14,467,10,User,Mobile;Link,True,4
22881,Financetracker,Login Form,Color Mismatch,Medium,P3,Mobile,Firefox,Android,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Color Mismatch,42,972,1,User,Crash;Accessibility,False,5
21724,Socialbuzz,Sidebar,Color Mismatch,High,P3,Desktop,Safari,Macos,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Color Mismatch,31,601,4,User,Performance;Crash;Layout,False,0
45908,Shopease,Navbar,Text Overflow,High,P3,Desktop,Edge,Windows,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Text Overflow,53,540,7,User,Mobile,False,3
43999,Noteapp,Search,Color Mismatch,Medium,P3,Desktop,Chrome,Macos,True,Perform action related to Search,Search works correctly,Search has issue: Color Mismatch,6,848,9,User,Color;Mobile;Accessibility,False,1
49006,Socialbuzz,Toolbar,Crash,Low,P3,Mobile,Edge,Windows,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Crash,16,505,6,Qa,UX,True,4
46495,Noteapp,Sidebar,Crash,High,P1,Mobile,Chrome,Windows,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Crash,29,171,4,User,Performance;Layout,True,2
26211,Noteapp,Footer,Color Mismatch,High,P1,Desktop,Safari,Ios,False,Perform action related to Footer,Footer works correctly,Footer has issue: Color Mismatch,37,562,5,Developer,Performance,True,0
34849,Taskmanager,Toolbar,Layout,Medium,P1,Desktop,Safari,Macos,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Layout,47,835,7,User,Link;Color,True,1
26603,Shopease,Search,Responsiveness,Low,P2,Tablet,Safari,Windows,False,Perform action related to Search,Search works correctly,Search has issue: Responsiveness,47,656,3,Qa,Accessibility;Color;Layout,False,2
