app_name,module,bug_type,severity,priority,device_type,browser,os,screenshot_available,steps_to_reproduce,expected_behavior,actual_behavior,time_to_detect_sec,time_to_fix_sec,user_impact_score,reported_by,tags,resolved,Cluster
Financetracker,Login Form,Responsiveness,Medium,P2,Tablet,Chrome,Windows,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Responsiveness,44,343,5,Developer,Crash;Animation,False,0
Financetracker,Dashboard,Color Mismatch,Medium,P3,Tablet,Safari,Macos,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Color Mismatch,26,151,1,Qa,UX;Accessibility,True,5
Socialbuzz,Checkout,Text Overflow,High,P2,Desktop,Firefox,Windows,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Text Overflow,6,460,2,Qa,Animation,True,3
Financetracker,Navbar,Responsiveness,Medium,P1,Tablet,Chrome,Windows,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Responsiveness,56,420,6,User,UX;Performance,True,0
Noteapp,Footer,Animation,Critical,P1,Desktop,Safari,Android,False,Perform action related to Footer,Footer works correctly,Footer has issue: Animation Bug,60,349,8,Developer,Crash;Accessibility;Mobile,True,0
Socialbuzz,Dashboard,Color Mismatch,High,P3,Desktop,Firefox,Windows,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Color Mismatch,22,964,1,User,Mobile;Layout,False,3
Taskmanager,Checkout,Broken Link,Medium,P2,Mobile,Edge,Macos,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Broken Link,36,198,3,Qa,Performance;Mobile,False,5
Noteapp,Navbar,Layout,Low,P1,Mobile,Safari,Android,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Layout,8,462,8,Developer,Crash;Mobile,True,4
Socialbuzz,Search,Crash,High,P2,Desktop,Firefox,Android,True,Perform action related to Search,Search works correctly,Search has issue: Crash,54,248,1,User,Layout;Animation,False,0
Taskmanager,Sidebar,Color Mismatch,Medium,P2,Mobile,Firefox,Windows,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Color Mismatch,38,743,10,Developer,Performance,True,2
Socialbuzz,Checkout,Crash,Low,P3,Mobile,Edge,Ios,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Crash,13,690,3,Qa,UX,False,3
Noteapp,Search,Crash,High,P1,Mobile,Safari,Macos,False,Perform action related to Search,Search works correctly,Search has issue: Crash,56,683,10,Developer,Performance,False,1
Taskmanager,Editor,Performance,High,P1,Desktop,Safari,Windows,True,Perform action related to Editor,Editor works correctly,Editor has issue: Performance,27,613,9,User,Animation;Layout,False,4
Financetracker,Search,Text Overflow,Medium,P1,Tablet,Firefox,Windows,False,Perform action related to Search,Search works correctly,Search has issue: Text Overflow,43,429,3,Developer,Performance;Mobile;Color,False,0
Noteapp,Search,Layout,Medium,P1,Desktop,Safari,Android,True,Perform action related to Search,Search works correctly,Search has issue: Layout,29,793,3,User,Animation;Layout,False,2
Taskmanager,Editor,Layout,High,P1,Tablet,Firefox,Ios,False,Perform action related to Editor,Editor works correctly,Editor has issue: Layout,23,222,7,Qa,Accessibility;UX,False,4
Socialbuzz,Checkout,Text Overflow,Medium,P2,Mobile,Safari,Android,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Text Overflow,15,500,1,Developer,Animation,False,5
Socialbuzz,Checkout,Responsiveness,Medium,P2,Mobile,Firefox,Ios,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Responsiveness,6,284,2,Qa,Color;Crash,True,5
Financetracker,Footer,Accessibility,Medium,P1,Desktop,Edge,Macos,True,Perform action related to Footer,Footer works correctly,Footer has issue: Accessibility,22,742,8,Developer,Mobile;Crash;UX,False,4
Noteapp,Dashboard,Crash,High,P2,Tablet,Edge,Windows,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Crash,31,571,2,Developer,Performance;Crash;UX,True,3
Taskmanager,Editor,Responsiveness,Medium,P1,Mobile,Firefox,Windows,False,Perform action related to Editor,Editor works correctly,Editor has issue: Responsiveness,58,492,4,User,Layout,False,0
Socialbuzz,Login Form,Animation,Critical,P1,Desktop,Chrome,Android,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Animation Bug,48,771,1,Qa,Color;Mobile,True,0
Taskmanager,Login Form,Layout,High,P3,Tablet,Edge,Windows,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Layout,53,473,2,Qa,Color;Link,True,0
Shopease,Dashboard,Performance,High,P2,Mobile,Edge,Android,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Performance,30,131,10,Qa,UX,False,4
Shopease,Login Form,Text Overflow,Medium,P3,Mobile,Chrome,Macos,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Text Overflow,20,114,5,Developer,Link;Performance,False,4
Financetracker,Login Form,Text Overflow,High,P1,Tablet,Chrome,Macos,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Text Overflow,35,882,6,Qa,Animation,False,2
Socialbuzz,Toolbar,Animation,Critical,P3,Mobile,Edge,Ios,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Animation Bug,56,239,3,Qa,Crash,True,0
Financetracker,Dashboard,Accessibility,Low,P2,Mobile,Chrome,Android,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Accessibility,13,572,6,Qa,Crash;Color;Mobile,False,4
Noteapp,Toolbar,Color Mismatch,Medium,P3,Tablet,Edge,Ios,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Color Mismatch,49,592,4,Developer,Performance;UX,True,0
Socialbuzz,Navbar,Layout,High,P2,Desktop,Edge,Macos,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Layout,30,472,3,Qa,Mobile,False,5
Socialbuzz,Search,Color Mismatch,Medium,P3,Tablet,Safari,Macos,True,Perform action related to Search,Search works correctly,Search has issue: Color Mismatch,33,315,1,Developer,UX;Accessibility;Mobile,True,5
Taskmanager,Dashboard,Accessibility,Medium,P2,Mobile,Firefox,Macos,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Accessibility,33,128,7,Qa,Animation,False,4
Financetracker,Sidebar,Broken Link,Medium,P3,Tablet,Edge,Android,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Broken Link,54,368,3,User,Animation;Layout;Performance,False,0
Socialbuzz,Search,Responsiveness,Medium,P3,Desktop,Edge,Ios,True,Perform action related to Search,Search works correctly,Search has issue: Responsiveness,39,166,6,User,Link;Accessibility,True,0
Shopease,Navbar,Text Overflow,Low,P3,Mobile,Edge,Android,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Text Overflow,53,216,8,Qa,Crash,False,0
Shopease,Navbar,Responsiveness,Medium,P3,Desktop,Chrome,Windows,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Responsiveness,36,714,4,User,Animation;Crash;Layout,True,1
Financetracker,Toolbar,Responsiveness,Medium,P3,Desktop,Chrome,Windows,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Responsiveness,35,622,5,Qa,Color;Layout;Link,False,2
Noteapp,Sidebar,Text Overflow,Medium,P3,Desktop,Safari,Windows,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Text Overflow,30,271,6,User,Performance;Color,True,0
Taskmanager,Checkout,Accessibility,Low,P3,Desktop,Chrome,Ios,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Accessibility,23,356,1,Qa,Color;UX;Crash,False,5
Shopease,Sidebar,Responsiveness,High,P3,Tablet,Edge,Android,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Responsiveness,34,835,1,Qa,Performance;Link,True,3
Shopease,Search,Performance,High,P1,Tablet,Firefox,Macos,True,Perform action related to Search,Search works correctly,Search has issue: Performance,41,445,9,Developer,Accessibility;Performance,True,0
Noteapp,Toolbar,Crash,Medium,P1,Desktop,Firefox,Macos,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Crash,23,308,4,Qa,Accessibility;Performance,True,5
Financetracker,Checkout,Layout,Medium,P2,Tablet,Firefox,Android,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Layout,9,223,8,User,UX,False,4
Taskmanager,Toolbar,Accessibility,High,P3,Desktop,Edge,Ios,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Accessibility,54,223,2,Qa,Accessibility,True,0
Financetracker,Sidebar,Text Overflow,Low,P2,Tablet,Edge,Ios,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Text Overflow,55,297,8,Developer,Crash;UX,True,0
Noteapp,Editor,Animation,Low,P2,Mobile,Edge,Android,True,Perform action related to Editor,Editor works correctly,Editor has issue: Animation Bug,29,587,8,Qa,Accessibility;Link,False,4
Shopease,Editor,Layout,Medium,P1,Desktop,Firefox,Macos,True,Perform action related to Editor,Editor works correctly,Editor has issue: Layout,31,650,6,Developer,Accessibility,False,2
Financetracker,Search,Responsiveness,Medium,P2,Tablet,Safari,Macos,False,Perform action related to Search,Search works correctly,Search has issue: Responsiveness,58,875,4,User,Performance;UX;Layout,False,1
Taskmanager,Footer,Responsiveness,Low,P2,Mobile,Safari,Macos,True,Perform action related to Footer,Footer works correctly,Footer has issue: Responsiveness,22,642,7,Qa,Animation,True,4
Socialbuzz,Dashboard,Responsiveness,High,P3,Tablet,Firefox,Ios,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Responsiveness,58,561,8,Developer,Mobile;Accessibility;Crash,False,0
Taskmanager,Search,Animation,Low,P2,Tablet,Firefox,Android,True,Perform action related to Search,Search works correctly,Search has issue: Animation Bug,26,788,10,Qa,Accessibility,False,2
Socialbuzz,Search,Text Overflow,Low,P3,Tablet,Firefox,Android,True,Perform action related to Search,Search works correctly,Search has issue: Text Overflow,9,86,8,Qa,Color,True,4
Taskmanager,Navbar,Responsiveness,High,P3,Desktop,Firefox,Windows,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Responsiveness,54,498,2,User,Mobile;Color;Accessibility,False,0
Taskmanager,Toolbar,Responsiveness,High,P2,Mobile,Edge,Windows,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Responsiveness,22,556,8,Qa,Color;Crash,False,4
Taskmanager,Toolbar,Layout,Medium,P2,Mobile,Chrome,Windows,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Layout,17,589,8,User,Crash;Layout;UX,False,4
Financetracker,Footer,Accessibility,Low,P2,Mobile,Edge,Ios,True,Perform action related to Footer,Footer works correctly,Footer has issue: Accessibility,21,84,2,Qa,Layout;UX,True,5
Financetracker,Search,Color Mismatch,Low,P3,Desktop,Chrome,Windows,False,Perform action related to Search,Search works correctly,Search has issue: Color Mismatch,9,447,10,Developer,Crash,False,4
Financetracker,Navbar,Text Overflow,High,P2,Desktop,Safari,Macos,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Text Overflow,19,840,7,Qa,Mobile;Accessibility;Layout,False,2
Financetracker,Toolbar,Color Mismatch,High,P2,Desktop,Edge,Ios,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Color Mismatch,48,496,7,Qa,Mobile;Accessibility;Layout,False,1
Shopease,Login Form,Accessibility,Medium,P3,Desktop,Edge,Android,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Accessibility,51,742,1,Developer,Animation;Performance;Layout,False,0
Noteapp,Footer,Animation,High,P1,Desktop,Firefox,Macos,True,Perform action related to Footer,Footer works correctly,Footer has issue: Animation Bug,33,840,1,Developer,Link;Mobile;Performance,False,3
Financetracker,Search,Layout,Low,P2,Tablet,Edge,Android,False,Perform action related to Search,Search works correctly,Search has issue: Layout,16,198,5,Developer,Link;Accessibility;Crash,True,5
Taskmanager,Footer,Performance,Medium,P2,Tablet,Chrome,Macos,False,Perform action related to Footer,Footer works correctly,Footer has issue: Performance,40,498,7,Qa,Performance;UX,True,0
Socialbuzz,Editor,Text Overflow,Critical,P2,Desktop,Edge,Android,True,Perform action related to Editor,Editor works correctly,Editor has issue: Text Overflow,37,916,2,User,Crash;Color,False,3
Taskmanager,Search,Text Overflow,Low,P2,Desktop,Edge,Macos,True,Perform action related to Search,Search works correctly,Search has issue: Text Overflow,53,565,8,Qa,Layout;UX;Accessibility,True,0
Shopease,Search,Animation,Medium,P3,Mobile,Safari,Windows,True,Perform action related to Search,Search works correctly,Search has issue: Animation Bug,10,554,8,User,Layout;Color,True,4
